Instance,No_In_Sequence,Class,Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Joint_4_x,Joint_4_y,Joint_4_z,Joint_5_x,Joint_5_y,Joint_5_z,Joint_6_x,Joint_6_y,Joint_6_z,Joint_7_x,Joint_7_y,Joint_7_z,Joint_8_x,Joint_8_y,Joint_8_z,Joint_9_x,Joint_9_y,Joint_9_z,Joint_10_x,Joint_10_y,Joint_10_z,Joint_11_x,Joint_11_y,Joint_11_z,Joint_12_x,Joint_12_y,Joint_12_z,Joint_13_x,Joint_13_y,Joint_13_z,Joint_14_x,Joint_14_y,Joint_14_z,Joint_15_x,Joint_15_y,Joint_15_z,Joint_16_x,Joint_16_y,Joint_16_z,Joint_17_x,Joint_17_y,Joint_17_z
30,1,0,156,275,158.0,6,1,7.0,4,9,1.0,12,17,7.0,4,5,7.0,5,22,7.0,11,28,6.0,10,65,48.0,16,50,24.0,12,23,2.0,156,287,26.0,154,285,25.0,9,39,19.0,156,287,26.0,19,225,56.0,75,283,30.0,52,78,21.0
30,5,0,0,372,127.0,13,17,31.0,0,4,36.0,0,29,42.0,2,14,36.0,10,51,51.0,24,10,1.0,79,40,51.0,69,8,24.0,2,24,38.0,106,12,11.0,97,44,49.0,96,18,37.0,160,21,56.0,159,13,50.0,230,40,9.0,208,9,7.0
30,6,0,0,306,88.0,0,1,3.0,0,2,16.0,9,12,9.0,6,9,72.0,10,32,17.0,13,20,14.0,48,15,19.0,47,9,17.0,96,13,17.0,85,6,20.0,91,38,17.0,95,20,13.0,170,13,12.0,168,12,23.0,237,29,16.0,219,50,5.0
30,7,0,0,288,91.0,4,10,15.0,0,3,1.0,94,27,17.0,237,4,8.0,10,31,16.0,6,34,17.0,47,5,20.0,54,30,16.0,85,29,15.0,69,14,15.0,93,31,17.0,98,19,14.0,175,28,14.0,163,7,1.0,237,43,17.0,234,3,2.0
30,8,0,0,266,76.0,2,7,0.0,5,7,0.0,95,36,0.0,5,31,0.0,5,31,0.0,5,41,2.0,47,12,5.0,58,41,0.0,87,24,60.0,68,22,1.0,96,37,0.0,94,50,3.0,166,35,5.0,162,6,16.0,236,59,1.0,229,19,23.0
30,9,0,5,245,104.0,5,2,8.0,5,5,23.0,5,12,8.0,1,1,3.0,7,30,26.0,12,44,23.0,50,11,30.0,47,10,29.0,88,14,21.0,69,17,26.0,90,34,23.0,87,40,23.0,160,16,14.0,159,12,14.0,228,5,14.0,228,4,14.0
30,10,0,8,230,115.0,7,0,5.0,5,5,32.0,7,5,7.0,3,1,98.0,2,27,32.0,1,28,32.0,44,14,33.0,43,40,30.0,88,3,36.0,79,2,34.0,84,22,30.0,81,36,32.0,151,3,30.0,149,17,32.0,201,47,34.0,224,9,24.0
30,11,0,0,216,108.0,8,5,11.0,0,6,91.0,1,16,11.0,223,21,18.0,6,25,19.0,9,31,19.0,48,14,24.0,55,40,19.0,93,2,91.0,89,29,87.0,92,15,26.0,95,37,22.0,151,16,15.0,155,23,11.0,230,16,15.0,235,22,19.0
30,12,0,12,199,16.0,8,2,97.0,6,3,90.0,12,12,92.0,4,7,90.0,1,23,76.0,3,29,74.0,41,15,71.0,7,64,189.0,84,2,74.0,10,12,91.0,91,16,69.0,90,40,73.0,150,13,85.0,150,33,84.0,213,27,96.0,218,38,75.0
30,13,0,15,182,124.0,6,0,8.0,2,2,4.0,13,13,15.0,15,13,15.0,4,20,28.0,12,35,29.0,43,11,37.0,43,38,28.0,89,5,70.0,81,2,34.0,95,20,29.0,94,40,27.0,152,6,20.0,148,36,19.0,208,18,21.0,215,53,33.0
30,14,0,17,165,132.0,6,0,4.0,1,1,4.0,15,11,16.0,17,11,16.0,3,15,28.0,16,41,27.0,44,1,28.0,41,18,35.0,86,12,28.0,83,4,31.0,82,20,32.0,85,40,30.0,146,2,24.0,137,25,28.0,206,3,28.0,189,52,25.0
30,15,0,0,154,124.0,1,0,2.0,0,42,69.0,5,7,6.0,2,19,0.0,22,8,16.0,34,41,10.0,63,9,16.0,69,51,3.0,99,24,16.0,108,47,8.0,102,16,20.0,106,37,18.0,159,6,17.0,150,17,15.0,221,8,20.0,204,25,4.0
30,16,0,16,146,127.0,2,1,3.0,2,6,51.0,6,5,3.0,6,20,3.0,11,2,18.0,22,41,7.0,50,18,21.0,57,50,2.0,80,31,61.0,93,48,3.0,86,13,18.0,89,35,13.0,143,11,18.0,140,8,13.0,204,15,23.0,186,1,30.0
30,17,0,22,138,134.0,1,0,1.0,8,19,7.0,4,5,4.0,3,20,6.0,11,1,16.0,24,40,9.0,46,17,21.0,58,47,2.0,77,31,2.0,93,43,3.0,86,11,18.0,88,31,13.0,138,11,17.0,138,12,18.0,194,23,26.0,184,3,71.0
